gX,gY,gZ,aX,aY,aZ
-20.568848,-16.174316,12.390137,0.968140,-0.232178,-0.011597
-22.399902,-16.296387,12.023926,0.967041,-0.235962,-0.012451
-22.399902,-16.296387,12.023926,0.967041,-0.235962,-0.012451
-23.498535,-16.357422,11.840820,0.967163,-0.238525,-0.013794
-23.498535,-16.357422,11.840820,0.967163,-0.238525,-0.013794
-23.498535,-16.357422,11.840820,0.967163,-0.238525,-0.013794
-23.742676,-16.479492,11.718750,0.965942,-0.239380,-0.013550
-23.742676,-16.479492,11.718750,0.965942,-0.239380,-0.013550
-23.071289,-16.662598,11.718750,0.964722,-0.242065,-0.012695
-23.071289,-16.662598,11.718750,0.964722,-0.242065,-0.012695
-23.071289,-16.662598,11.718750,0.963013,-0.245361,-0.011108
-21.545410,-16.906738,11.901855,0.963013,-0.245361,-0.011108
-21.545410,-16.906738,11.901855,0.963013,-0.245361,-0.011108
-19.226074,-17.211914,12.145996,0.960571,-0.246704,-0.010498
-19.226074,-17.211914,12.145996,0.960571,-0.246704,-0.010498
-17.150879,-17.578125,12.451172,0.959595,-0.245361,-0.016357
-17.150879,-17.578125,12.451172,0.959595,-0.245361,-0.016357
-17.150879,-17.578125,12.451172,0.959595,-0.245361,-0.016357
-16.784668,-17.700195,12.512207,0.961670,-0.241821,-0.029175
-16.784668,-17.700195,12.512207,0.961670,-0.241821,-0.029175
-19.226074,-17.822266,12.145996,0.963257,-0.236572,-0.039795
-19.226074,-17.822266,12.145996,0.963257,-0.236572,-0.039795
-24.658203,-17.761230,11.413574,0.962036,-0.234863,-0.045166
-24.658203,-17.761230,11.413574,0.962036,-0.234863,-0.045166
-24.658203,-17.761230,11.413574,0.962036,-0.234863,-0.045166
-31.860352,-17.700195,10.375977,0.960327,-0.240479,-0.049316
-31.860352,-17.700195,10.375977,0.960327,-0.240479,-0.049316
-39.550781,-17.700195,9.155273,0.958130,-0.250488,-0.054199
-39.550781,-17.700195,9.155273,0.958130,-0.250488,-0.054199
-39.550781,-17.700195,9.155273,0.957397,-0.265869,-0.061523
-46.142578,-17.578125,8.056641,0.957397,-0.265869,-0.061523
-46.142578,-17.578125,8.056641,0.957397,-0.265869,-0.061523
-50.231934,-17.700195,7.141113,0.957031,-0.282837,-0.067505
-50.231934,-17.700195,7.141113,0.957031,-0.282837,-0.067505
-51.147461,-17.822266,6.591797,0.956543,-0.293701,-0.072144
-51.147461,-17.822266,6.591797,0.956543,-0.293701,-0.072144
-51.147461,-17.822266,6.591797,0.956543,-0.293701,-0.072144
-49.743652,-18.066406,6.286621,0.956787,-0.300171,-0.083984
-49.743652,-18.066406,6.286621,0.956787,-0.300171,-0.083984
-47.363281,-18.188477,6.225586,0.958130,-0.306885,-0.103149
-47.363281,-18.188477,6.225586,0.958130,-0.306885,-0.103149
